edge1_x, edge1_y, edge2_x, edge2_y
-7.89632e-10,0.44302,0,1
0,1,0.0589136,1
0.0589136,1,0.23797,0.73519
0.23797,0.73519,0.119155,0.489407
0.119155,0.489407,-7.89632e-10,0.44302
0.226526,0.304961,0.119155,0.489407
0.119155,0.489407,0.23797,0.73519
0.23797,0.73519,0.252756,0.727855
0.252756,0.727855,0.354646,0.562062
0.354646,0.562062,0.226526,0.304961
0.537453,1,0.77527,1
0.77527,1,0.760548,0.903181
0.760548,0.903181,0.690506,0.836749
0.690506,0.836749,0.601367,0.845696
0.601367,0.845696,0.537453,1
0.483045,0.745407,0.601367,0.845696
0.601367,0.845696,0.690506,0.836749
0.690506,0.836749,0.757488,0.672207
0.757488,0.672207,0.63447,0.581966
0.63447,0.581966,0.483045,0.745407
0.250726,0.218848,0.280554,0.174289
0.280554,0.174289,0.18497,3.32209e-09
0.18497,3.32209e-09,0,0
0,0,0,0.312503
0,0.312503,0.250726,0.218848
0.798109,0.485724,0.604391,0.45433
0.604391,0.45433,0.63447,0.581966
0.63447,0.581966,0.757488,0.672207
0.757488,0.672207,0.822934,0.657544
0.822934,0.657544,0.84923,0.600253
0.84923,0.600253,0.798109,0.485724
0.625474,-2.09008e-09,0.18497,0
0.18497,0,0.280554,0.174289
0.280554,0.174289,0.394754,0.210603
0.394754,0.210603,0.625474,-2.09008e-09
0.798109,0.485724,0.84923,0.600253
0.84923,0.600253,1,0.493482
1,0.493482,1,0.443082
1,0.443082,0.83726,0.437254
0.83726,0.437254,0.798109,0.485724
0.926066,0.741351,0.822934,0.657544
0.822934,0.657544,0.757488,0.672207
0.757488,0.672207,0.690506,0.836749
0.690506,0.836749,0.760547,0.903181
0.760547,0.903181,0.865872,0.855804
0.865872,0.855804,0.926066,0.741351
0.63447,0.581966,0.604391,0.45433
0.604391,0.45433,0.562365,0.386296
0.562365,0.386296,0.540025,0.380686
0.540025,0.380686,0.354646,0.562062
0.354646,0.562062,0.252756,0.727855
0.252756,0.727855,0.483045,0.745407
0.483045,0.745407,0.63447,0.581966
0.601367,0.845696,0.483045,0.745407
0.483045,0.745407,0.252756,0.727855
0.252756,0.727855,0.23797,0.73519
0.23797,0.73519,0.0589135,1
0.0589135,1,0.537453,1
0.537453,1,0.601367,0.845696
0.751075,0.259856,0.562365,0.386296
0.562365,0.386296,0.604391,0.45433
0.604391,0.45433,0.798109,0.485724
0.798109,0.485724,0.83726,0.437255
0.83726,0.437255,0.751075,0.259856
0.83726,0.437254,1,0.443082
1,0.443082,1,0.226614
1,0.226614,0.803794,0.196528
0.803794,0.196528,0.751075,0.259856
0.751075,0.259856,0.83726,0.437254
0.803794,0.196528,1,0.226614
1,0.226614,1,0
1,0,0.717874,0
0.717874,0,0.803794,0.196528
-3.75972e-10,0.312503,0,0.44302
0,0.44302,0.119155,0.489407
0.119155,0.489407,0.226526,0.304961
0.226526,0.304961,0.250726,0.218848
0.250726,0.218848,-3.75972e-10,0.312503
0.354646,0.562062,0.540025,0.380686
0.540025,0.380686,0.394754,0.210603
0.394754,0.210603,0.280554,0.174289
0.280554,0.174289,0.250726,0.218848
0.250726,0.218848,0.226526,0.304961
0.226526,0.304961,0.354646,0.562062
0.84923,0.600253,0.822934,0.657544
0.822934,0.657544,0.926066,0.741351
0.926066,0.741351,1,0.744904
1,0.744904,1,0.493482
1,0.493482,0.84923,0.600253
0.394754,0.210603,0.540025,0.380686
0.540025,0.380686,0.562365,0.386296
0.562365,0.386296,0.751075,0.259856
0.751075,0.259856,0.803794,0.196528
0.803794,0.196528,0.717874,1.36703e-09
0.717874,1.36703e-09,0.625474,0
0.625474,0,0.394754,0.210603
1,0.97125,1,0.744904
1,0.744904,0.926066,0.741351
0.926066,0.741351,0.865872,0.855804
0.865872,0.855804,1,0.97125
0.865872,0.855804,0.760548,0.903181
0.760548,0.903181,0.77527,1
0.77527,1,1,1
1,1,1,0.97125
1,0.97125,0.865872,0.855804
