edge1_x, edge1_y, edge2_x, edge2_y
0.117475,0.398165,0.049575,0.404343
0.049575,0.404343,-3.25418e-09,0.418152
-3.25418e-09,0.418152,0,0.674201
0,0.674201,0.212013,0.589569
0.212013,0.589569,0.213977,0.519113
0.213977,0.519113,0.117475,0.398165
0.26173,0.482139,0.213977,0.519113
0.213977,0.519113,0.212013,0.589569
0.212013,0.589569,0.319843,0.670641
0.319843,0.670641,0.419809,0.590012
0.419809,0.590012,0.463757,0.519327
0.463757,0.519327,0.26173,0.482139
0.667557,0.777233,0.594223,0.795828
0.594223,0.795828,0.537293,1
0.537293,1,0.781898,1
0.781898,1,0.793009,0.94581
0.793009,0.94581,0.667557,0.777233
0.584252,0.769471,0.591167,0.792522
0.591167,0.792522,0.594223,0.795828
0.594223,0.795828,0.667557,0.777233
0.667557,0.777233,0.821399,0.678305
0.821399,0.678305,0.82124,0.655923
0.82124,0.655923,0.820846,0.655391
0.820846,0.655391,0.706844,0.578203
0.706844,0.578203,0.578691,0.51745
0.578691,0.51745,0.584252,0.769471
0.205798,0.28615,0.310301,0.241885
0.310301,0.241885,0.31711,0.227654
0.31711,0.227654,0.216666,0.0340528
0.216666,0.0340528,0.00567674,0.145679
0.00567674,0.145679,0.0620703,0.2035
0.0620703,0.2035,0.205798,0.28615
0.706844,0.578203,0.820846,0.655391
0.820846,0.655391,0.796488,0.456428
0.796488,0.456428,0.784535,0.447804
0.784535,0.447804,0.73554,0.463113
0.73554,0.463113,0.706844,0.578203
0.454876,-6.65632e-10,0.220689,0
0.220689,0,0.216666,0.0340528
0.216666,0.0340528,0.31711,0.227654
0.31711,0.227654,0.394827,0.203211
0.394827,0.203211,0.436941,0.128476
0.436941,0.128476,0.454876,-6.65632e-10
0.796488,0.456428,0.820846,0.655391
0.820846,0.655391,0.82124,0.655923
0.82124,0.655923,1,0.496953
1,0.496953,1,0.367517
1,0.367517,0.9838,0.365678
0.9838,0.365678,0.796488,0.456428
0.793009,0.94581,0.812696,0.922871
0.812696,0.922871,0.884453,0.741622
0.884453,0.741622,0.821399,0.678305
0.821399,0.678305,0.667557,0.777233
0.667557,0.777233,0.793009,0.94581
0.584252,0.769471,0.578691,0.51745
0.578691,0.51745,0.548597,0.479639
0.548597,0.479639,0.493045,0.489236
0.493045,0.489236,0.463757,0.519327
0.463757,0.519327,0.419809,0.590012
0.419809,0.590012,0.584252,0.769471
0.310144,1,0.537293,1
0.537293,1,0.594223,0.795828
0.594223,0.795828,0.591167,0.792522
0.591167,0.792522,0.446062,0.762447
0.446062,0.762447,0.310144,1
0.73554,0.463113,0.57179,0.442293
0.57179,0.442293,0.548597,0.479639
0.548597,0.479639,0.578691,0.51745
0.578691,0.51745,0.706844,0.578203
0.706844,0.578203,0.73554,0.463113
0.9838,0.365678,0.695418,0.240947
0.695418,0.240947,0.694437,0.242059
0.694437,0.242059,0.784535,0.447804
