vertex_x,vertex_y
0.847262,0.093215
1,0.136484
1,0
0.759569,0
0.869243,0.733052
1,0.829117
1,0.49847
0.943479,0.517767
0.78439,0.32981
0.787097,0.323121
0.790731,0.250483
0.764552,0.227394
0.64733,0.184391
0.556915,0.248792
0.663361,0.478131
0.847262,0.093215
0.759569,-2.63817e-09
0.684179,0
0.64733,0.184391
0.764552,0.227394
1,0.398914
1,0.230988
0.790731,0.250483
0.787097,0.323122
0.684179,2.82107e-09
0.360194,0
0.347576,0.07231
0.548853,0.2479
0.556915,0.248792
0.64733,0.184391
0.338948,0.539647
0.267593,0.578011
0.25898,0.602658
0.391386,0.734073
0.409024,0.734365
0.578061,0.586375
0.541653,0.562269
0.939314,0.517459
0.943479,0.517767
1,0.49847
1,0.398914
0.787097,0.323122
0.78439,0.32981
0.338948,0.539647
0.541653,0.562269
0.402142,0.395781
0.651643,0.798621
0.586659,0.896466
0.635932,1
0.784754,1
0.809748,0.913826
0.786463,0.852667
0.183694,0.301754
0.201324,0.198981
-2.40825e-09,0.0401908
0,0.293622
0.158998,0.803696
0.0622241,0.675055
9.71029e-10,0.658104
0,1
0.170518,1
0.402142,0.395781
0.39712,0.379973
0.203421,0.327347
0.267593,0.578011
0.338948,0.539647
0.548853,0.2479
0.347576,0.07231
0.201324,0.198981
0.183694,0.301754
0.187235,0.313054
0.203421,0.327347
0.39712,0.379973
-2.24236e-10,0.293622
0,0.555922
0.187235,0.313054
0.183694,0.301754
0.396249,1
0.635932,1
0.586659,0.896466
0.570481,0.892274
0.570481,0.892274
0.586659,0.896466
0.651643,0.798621
0.658673,0.647803
0.628508,0.580406
0.578061,0.586375
0.409024,0.734365
0.464307,0.820421
0.358342,1
0.396249,1
0.570481,0.892274
0.464307,0.820421
0.334531,0.78833
0.391386,0.734074
0.25898,0.602658
0.0622241,0.675055
0.158998,0.803696
0.809748,0.913826
0.784754,1
1,1
1,0.83228
0.201324,0.198981
0.347576,0.07231
0.360194,-1.59738e-09
0,0
0,0.0401908
0.78439,0.32981
0.663361,0.478131
0.665992,0.530553
0.939314,0.517459
0.764552,0.227394
0.790731,0.250483
1,0.230988
1,0.136484
0.847262,0.093215
0.541653,0.562269
0.578061,0.586375
0.628508,0.580406
0.665992,0.530553
0.663361,0.478131
0.556915,0.248792
0.548853,0.2479
0.39712,0.379973
0.402142,0.395781
0.464307,0.820421
0.409024,0.734365
0.391386,0.734073
0.334531,0.78833
0.299504,1
0.358342,1
0.203421,0.327347
0.187234,0.313054
-3.23062e-09,0.555922
0,0.658104
0.062224,0.675055
0.25898,0.602658
0.267593,0.578011
0.786463,0.852667
0.835302,0.739818
0.658673,0.647803
0.651643,0.798621
0.786463,0.852667
0.809748,0.913826
1,0.83228
1,0.829117
0.869243,0.733052
0.835302,0.739818
0.943479,0.517767
0.939315,0.517459
0.665992,0.530553
0.628508,0.580406
0.658673,0.647803
0.835301,0.739818
0.869243,0.733052
0.158998,0.803696
0.170518,1
0.299504,1
0.334531,0.78833
