vertex_x,vertex_y
0.103581,0.555988
0.0619427,0.467135
-7.89632e-10,0.44302
0,0.759404
0.00448428,0.759221
0.0708778,0.650689
0.27126,0.39473
0.200982,0.34884
0.177986,0.388344
0.240107,0.508127
0.310441,0.53005
0.338514,0.529689
0.567354,1
0.77527,1
0.760548,0.903181
0.690506,0.836749
0.663422,0.839467
0.508215,0.737658
0.51738,0.774509
0.536557,0.790763
0.663422,0.839467
0.690506,0.836749
0.721677,0.760178
0.697159,0.63954
0.662134,0.606572
0.611812,0.63155
1.5068e-09,0.198151
0,0.312503
0.0768477,0.283797
0.0926156,0.222751
0.820489,0.535865
0.798109,0.485724
0.740933,0.476458
0.659421,0.562359
0.662163,0.581083
0.455665,0.144829
0.544116,0.0612279
0.55273,2.62591e-10
0.378304,0
0.798109,0.485724
0.820489,0.535865
0.864597,0.589371
0.990684,0.500079
0.926767,0.44046
0.83726,0.437254
0.876899,0.719622
0.721677,0.760178
0.690506,0.836749
0.760547,0.903181
0.865872,0.855804
0.866616,0.854388
0.529597,0.585294
0.458687,0.462646
0.454953,0.463921
0.375646,0.541515
0.379288,0.596235
0.43864,0.681881
0.452882,0.690644
0.536557,0.790763
0.51738,0.774509
0.357285,0.891498
0.353071,1
0.4992,1
0.760746,0.279761
0.746634,0.262832
0.736255,0.269786
0.719715,0.414041
0.740933,0.476458
0.798109,0.485724
0.83726,0.437255
0.760746,0.279761
0.83726,0.437254
0.926767,0.44046
0.918781,0.376057
0.780103,0.142337
0.793507,0.172996
1,0.184929
1,0
0.78347,0
0.0768477,0.283797
-3.75972e-10,0.312503
0,0.44302
0.0619427,0.467135
0.177986,0.388344
0.200982,0.34884
0.201233,0.343725
0.27126,0.39473
0.338514,0.529689
0.375646,0.541515
0.454953,0.463921
0.372542,0.379393
0.864597,0.589371
0.8575,0.611809
0.890154,0.704626
1,0.724531
1,0.50075
0.990684,0.500079
0.507453,0.220765
0.57061,0.305016
0.736255,0.269786
0.746634,0.262832
0.793507,0.172996
0.780103,0.142337
0.682278,0.115157
0.866616,0.854388
0.865872,0.855804
1,0.97125
1,0.806822
0.865872,0.855804
0.760548,0.903181
0.77527,1
1,1
1,0.97125
0.682278,0.115157
0.544116,0.0612279
0.455665,0.144829
0.451215,0.157527
0.507453,0.220765
0.177986,0.388344
0.0619427,0.467135
0.103581,0.555988
0.13696,0.557424
0.240107,0.508127
0.583592,0.473532
0.659421,0.562359
0.740933,0.476458
0.719715,0.414041
0.104825,0.103124
0.17423,0.0385812
0.174882,1.27265e-10
0,0
0,0.13508
0.293904,0.801588
0.357285,0.891498
0.51738,0.774509
0.508215,0.737658
0.452882,0.690644
0.43864,0.681881
0.452882,0.690644
0.508215,0.737658
0.611812,0.63155
0.529597,0.585294
0.918781,0.376057
1,0.251015
1,0.184929
0.793507,0.172996
0.746634,0.262832
0.760746,0.279761
0.0926156,0.222751
0.0951675,0.219072
0.104825,0.103124
-1.09754e-09,0.13508
0,0.198151
0.52423,0.402107
0.57061,0.305016
0.507453,0.220765
0.451215,0.157527
0.365313,0.191038
0.372478,0.277182
0.0708777,0.650689
0.0044843,0.759221
0.0975171,0.813365
0.239961,0.770144
0.254808,0.697792
0.223864,0.655781
0.293904,0.801588
0.239961,0.770144
0.0975171,0.813365
0.150075,1
0.353071,1
0.357285,0.891498
0.378304,1.64172e-09
0.174882,0
0.17423,0.0385812
0.276926,0.184211
0.365313,0.191038
0.451215,0.157527
0.455665,0.144829
0.239611,0.24301
0.276926,0.184211
0.17423,0.0385812
0.104825,0.103124
0.0951675,0.219072
0.372478,0.277182
0.360367,0.340874
0.372542,0.379393
0.454953,0.463921
0.458687,0.462646
0.515849,0.427573
0.52423,0.402107
0.611812,0.63155
0.662134,0.606572
0.662163,0.581083
0.659421,0.562358
0.583592,0.473532
0.515849,0.427573
0.458687,0.462646
0.529597,0.585294
0.223864,0.655781
0.214578,0.611517
0.13696,0.557424
0.103581,0.555988
0.0708777,0.650689
0.360367,0.340874
0.372478,0.277182
0.365313,0.191038
0.276926,0.184211
0.239611,0.24301
0.211956,0.326047
1,0.806822
1,0.724531
0.890154,0.704626
0.876899,0.719622
0.866616,0.854388
0.918781,0.376057
0.926767,0.44046
0.990684,0.500079
1,0.50075
1,0.251015
0.0975171,0.813365
0.00448436,0.759221
-1.4286e-10,0.759404
0,1
0.150075,1
0.214578,0.611517
0.223864,0.655781
0.254808,0.697792
0.379288,0.596235
0.375646,0.541515
0.338514,0.529689
0.310441,0.53005
0.662163,0.581083
0.662134,0.606572
0.697159,0.63954
0.8575,0.611809
0.864597,0.589371
0.820489,0.535865
0.0951675,0.219072
0.0926156,0.222751
0.0768477,0.283797
0.201233,0.343725
0.211956,0.326047
0.239611,0.24301
0.876899,0.719622
0.890154,0.704626
0.8575,0.611809
0.697159,0.63954
0.721677,0.760178
0.43864,0.681881
0.379288,0.596235
0.254808,0.697792
0.239961,0.770144
0.293904,0.801588
0.4992,1
0.567354,1
0.663422,0.839467
0.536557,0.790763
0.719715,0.414041
0.736255,0.269786
0.57061,0.305016
0.52423,0.402107
0.515849,0.427573
0.583592,0.473532
0.211956,0.326047
0.201233,0.343725
0.200982,0.34884
0.27126,0.39473
0.372542,0.379393
0.360367,0.340874
0.682278,0.115157
0.780103,0.142337
0.78347,6.35082e-10
0.55273,0
0.544116,0.0612279
0.310441,0.53005
0.240107,0.508127
0.13696,0.557424
0.214578,0.611517
